text,author_id,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
RT @SamuelLJackson: Revelations Of Will Smith Call With Oscar Bosses Outrages Board &amp; More #SmartNews  https://t.co/0CEj5wGcyw,1502107370494775296,1516627522649309185,2022-04-20T03:59:13.000Z,87,0,0,0
Will Smith slaps Chris Rock at the Oscars https://t.co/chhAaDL70B,1500680361071849472,1516607858472853510,2022-04-20T02:41:05.000Z,0,0,0,0
"Will Packer Claims Chris Rock Said Will Could Leave, Rock Sources Say That's a Lie https://t.co/fH262ILC0h via @TMZ",2891220923,1516600219714170883,2022-04-20T02:10:44.000Z,0,0,0,0
"Will Smith’s Post-Slap Oscars Acceptance Speech Spiked Audience by 600,000 Viewers https://t.co/SojB2atNF6",1002293322512297984,1516598789372448769,2022-04-20T02:05:03.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/i7i9iIdR9U via @YouTube the greatest-night in Television history,1029320749356527616,1516596937138470914,2022-04-20T01:57:41.000Z,0,0,0,0
RT @extratv: Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t…,2497930419,1516592608407076875,2022-04-20T01:40:29.000Z,1,0,0,0
Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/AOIUpohRHJ,15676578,1516589969766330370,2022-04-20T01:30:00.000Z,1,0,1,0
"RT @LightfootInHwd: After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, th…",3297714729,1516550541186318342,2022-04-19T22:53:19.000Z,2,0,0,0
"RT @usweekly: Weeks later, celebs are *still* reacting to the #OSCARS slap. https://t.co/rXuRipVpEX",1512374511663935489,1516546086768316418,2022-04-19T22:35:37.000Z,1,0,0,0
"Weeks later, celebs are *still* reacting to the #OSCARS slap. https://t.co/rXuRipVpEX",20012204,1516545930840915970,2022-04-19T22:35:00.000Z,1,1,5,0
"RT @LightfootInHwd: After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, th…",742121887493296128,1516542967472955397,2022-04-19T22:23:14.000Z,2,0,0,0
'Saturday Night Live' takes on Will Smith's Oscars slap https://t.co/uQIfz5djsK #BreakingNews #news #Twitter #Ukraine️ #UkraineRussiaWar #Trump #Biden,2707584582,1516533860237910017,2022-04-19T21:47:02.000Z,0,0,0,0
"After Will Smith assaulted Chris Rock, procedures were so shaken that they didn't present Liza in a directors chair, they forced her out in the wheelchair.💔

Liza Minnelli was ‘sabotaged’ at Oscars 2022, longtime pal claims

https://t.co/wBd3zywZHa",399129934,1516531745935573000,2022-04-19T21:38:38.000Z,2,3,5,0
"RT @LaLigaenDirecto: 1⃣5⃣ Que alguien pare esto, POR FAVOR. #LaProfecía

Óscars 1977: Sylvester Stallone y Muhammad Ali tienen una 'pelea'…",996829562,1516528482725072911,2022-04-19T21:25:40.000Z,63,0,0,0
"""There’s too much reliance on written statements and not enough acknowledgment that multiple apologies are missing from all parties.""

#hollywoodnews #variety #theimagecartel

https://t.co/JPV64kl3M9",95596412,1516522050244034584,2022-04-19T21:00:07.000Z,0,0,0,0
“Will Smith Has Been Bullying Chris Rock All His Life”: Actor Who Made Bold Claim on Dwyane Wade’s Wife Comments on Oscars Slapgate https://t.co/bRdeTyJR76,1419666560109719555,1516514733939216385,2022-04-19T20:31:02.000Z,0,0,0,0
Zayn Malik’s Favorite Fighter Calls Out Former Interim UFC Champion With Chris Rock and Will Smith’s Oscars Slap Reference https://t.co/u6PkP3yszs,1419666560109719555,1516514732525694988,2022-04-19T20:31:02.000Z,0,0,0,0
RT @crypto_wires: Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock…,1478642682851467266,1516514345068474372,2022-04-19T20:29:29.000Z,2,0,0,0
RT @crypto_wires: Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock…,724282982652059648,1516514296544563201,2022-04-19T20:29:18.000Z,2,0,0,0
Will Smith Slaps Chris Rock At The Oscars 2022! Animated https://t.co/3b6aYve9ms via @YouTube #funny #willsmithchrisrock #mentalhealth,827770400,1516514214021578757,2022-04-19T20:28:58.000Z,2,0,4,0
Telling my kids this was will smith and Chris rock at the 2022 Oscars https://t.co/kqFwJtuopR,1514797963373031431,1516512818299908099,2022-04-19T20:23:25.000Z,0,0,1,0
@Jomed13 @julianaoxenford https://t.co/gvfjsZwkUf,542814151,1516496713552478219,2022-04-19T19:19:26.000Z,0,0,2,0
"About Will Smith and Chris Rock at The Oscars | by William Spivey | Mar, 2022 | Medium - via @pensignal  https://t.co/sgEb2orpsm #Oscars #WillSmith",939921812,1516490956320784397,2022-04-19T18:56:33.000Z,0,0,0,0
Jada Pinkett Smith is back at the red table in the wake of the Oscars altercation between Will Smith and Chris Rock. https://t.co/wKf4hPSOtt,15676578,1516472317089525760,2022-04-19T17:42:29.000Z,1,1,0,0
RT @HarringtonBoyce: Thank you fortune for the shoutout 🚀👏Slapping our way to a new ATH 🚀https://t.co/baoAUbnoxi#SLAP #OSCARS… https://t.co…,1475625085813854215,1516471744663625738,2022-04-19T17:40:13.000Z,1,0,0,0
"RT @LogoArchitect: VIVIDESIGN Group -  Chris Rock Sold More Tour Tickets This Week Than Before Oscars Slap, Reseller Says https://t.co/ePPm…",1113942176331968513,1516470341064744960,2022-04-19T17:34:38.000Z,1,0,0,0
"RT @NaviNous: Will Smith Apologizes for Slapping Oscars Presenter Chris Rock:
""I am embarrassed and my actions were not indicative of the m…",1505784484465061888,1516457579303514117,2022-04-19T16:43:55.000Z,1,0,0,0
Chris Rock Breaks His Silence Since The Oscars https://t.co/jleFIv4nD5,1254591098837762048,1516448659763773445,2022-04-19T16:08:29.000Z,0,0,0,0
Will Smith Slaps Chris Rock Into Next Week Onstage At Oscars After Bad Jada Joke https://t.co/GsUndBTMJ2,1254591098837762048,1516447352902631432,2022-04-19T16:03:17.000Z,0,0,0,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will SmithFor Slapping Chris Rock at Oscars 2022 https://t.co/65EiamVxAj via @es_sportsnews,841107668307701763,1516438179703713792,2022-04-19T15:26:50.000Z,0,1,0,0
Billy Crystal Is Still Pretty Steamed About Will Smith Slapping Chris Rock At The Oscars https://t.co/wXkBw0HWyK,1367710872940974080,1516435910287671305,2022-04-19T15:17:49.000Z,0,0,0,0
"RT @MojahedFudailat: Will Smith Slaps Chris Rock at Oscars 2022 Animated
#Oscars #Animation #3DArt https://t.co/DxFwRhBvxP",1693722961,1516427247514787851,2022-04-19T14:43:24.000Z,440,0,0,0
"@aidemarron1 Several sources reported that the audience grew after the slap 👉 https://t.co/DCbtX4FAc2
I don't know if this was planned, but it definitely tells us a lot about audience behavior.",1480272768792944651,1516409259516379138,2022-04-19T13:31:55.000Z,0,0,1,0
"RT @CRInstitute: 2022 Oscars telecast on 3/27, Will Smith slapped Chris Rock. News cycles dominated by this pop culture story. Denzel Washi…",19608452,1516404059149897731,2022-04-19T13:11:15.000Z,1,0,0,0
"#NewArticle 'Will Smith backlash after slapping Chris Rock live at the Oscar’s'. Check out the full article HERE:
https://t.co/YyBfh6Z2Mt
#WillSmith #ChrisRock #Oscars #Entertainment #Comedy #JadaPinkettSmith #Fyp #Live #NetworthPick https://t.co/oYcIBupg6S",1358824219400933376,1516401466067632128,2022-04-19T13:00:57.000Z,0,0,0,0
"2022 Oscars telecast on 3/27, Will Smith slapped Chris Rock. News cycles dominated by this pop culture story. Denzel Washington's comments about the slap at Pastor T.J. Jakes International Leadership Summit in CLT. Who is Jakes? Beliefs? See https://t.co/NrdIbrzgec #apologetics https://t.co/xWr8cnWA0r",20602519,1516401411969409024,2022-04-19T13:00:44.000Z,1,0,2,0
"After slapping Chris Rock at the Oscars: Will Smith resigns from the Oscar academy
https://t.co/FxIamBzamR

#willsmithslap #jadapinketsmith https://t.co/c0c6MkMWbf",1509379073658830848,1516386289586778123,2022-04-19T12:00:39.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/8wOj0cJu4s via @YouTube,1454370622415454210,1516384086188773385,2022-04-19T11:51:53.000Z,0,0,0,0
"RT @935KDAY: #KrushGroove artist DJ Quik speaks on releasing new music as NFT’s &amp; shares opinion on Will Smith Oscars situation 🔥💯👑
•
@djqu…",1505082259241529355,1516370306947985408,2022-04-19T10:57:08.000Z,1,0,0,0
"Will Smith Resigns From Academy Over Chris Rock Oscars Slap – Variety

I’d slap the shit out of you. https://t.co/ed0h2AYaDT",3042290454,1516356874253135874,2022-04-19T10:03:46.000Z,0,0,0,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/8YbDY68RHV,1313825356793745408,1516355950197755905,2022-04-19T10:00:05.000Z,0,0,0,0
"RT @June_space_: Every 2022 recap is gonna include two things:
- That wacky time Will Smith slapped Chris Rock at the Oscars
- The Anomaly…",1350866799668113409,1516352014887833603,2022-04-19T09:44:27.000Z,3,0,0,0
"Have we moved on or we can still have a look at this?
https://t.co/tQj5nIAgMH",1073525935213871104,1516332426250919936,2022-04-19T08:26:37.000Z,0,0,1,0
RT @Variety: Here's Will Smith's tearful acceptance speech at the #Oscars. https://t.co/ulvT7fsB57 https://t.co/Uq2krBbBld,1317912179924963331,1516331087798095873,2022-04-19T08:21:18.000Z,9109,0,0,0
Body Language Analyst REACTS to WILL SMITH/CHRIS ROCK SLAP at 2022 Oscars. WAS IT STAGED? - YouTube https://t.co/CX1oQS4ySJ,223060015,1516326821578489857,2022-04-19T08:04:20.000Z,0,0,0,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/h1Y1mZYSf4 via @YouTube,1504179926596931584,1516323174840905731,2022-04-19T07:49:51.000Z,0,0,3,0
Will Smith has now apologised for his actions at the Oscars. https://t.co/0CoTx7So9w,1061315510963294208,1516311652043350019,2022-04-19T07:04:04.000Z,0,0,1,0
Will Smith SLAPS Chris Rock at Oscars 2022 - South Park Animated https://t.co/8wQusJHRxC via @YouTube,40411062,1516306771869982723,2022-04-19T06:44:40.000Z,0,0,0,0
Amy Schumer praises Chris Rock for keeping his composure after getting slapped by Will Smith at Oscars 2022. Watch the comedienne discuss the aftermath! https://t.co/3iDJnXNOsO,2542967450,1516289489207013380,2022-04-19T05:36:00.000Z,0,1,3,0
Patrick Mahomes’ Wife Brittany Matthews Has Four Words Of Advice to Will Smith For Slapping Chris Rock at Oscars 2022 https://t.co/UcSPr4r5aw,1489216174147743753,1516284128903188487,2022-04-19T05:14:42.000Z,0,0,0,0
Amy Schumer praises Chris Rock for keeping his composure after getting slapped by Will Smith at Oscars 2022. Watch the comedienne discuss the aftermath! https://t.co/YEC9fpuqWZ,3180209864,1516273537719631874,2022-04-19T04:32:37.000Z,0,0,0,0
Chris Rock no hablará de la cachetada de los Oscars hasta que le paguen https://t.co/Zkv7qfnPCB     *,169989918,1516272922989629441,2022-04-19T04:30:10.000Z,0,0,0,0
"RT @rummanahussain: For my latest column, I touched on the South Asian/Asian American experience tied to the other Chris Rock joke that dre…",3127521240,1516255308804497411,2022-04-19T03:20:10.000Z,5,0,0,0
